,mean
1085,0.4414149802685216
1088,0.4114229606633098
1090,0.23913629042605553
1093,0.23001797680985434
1094,0.4283108835303506
1095,0.3487483854808192
1096,0.2564314954458399
1097,0.3551066525158335
1098,0.23231329189406502
1099,0.5638802406333742
1102,0.392806738615036
1104,0.4932908706702983
1105,0.49406916774668774
1110,0.3356992274522781
1113,0.2518842433180128
1115,0.364855814007337
1116,0.398488529039742
1118,0.2285041187731724
1119,0.22414587140083314
1120,0.3313291519880295
1122,0.3052565043103205
1123,0.4815044701099396
1124,0.4564112593503039
1126,0.4413285778119014
1128,0.2825548099054106
1129,0.4035898312216713
1130,0.3183214948367884
1132,0.3499162737086329
1133,0.2152796754470238
1138,0.3895213246012533
1140,0.3661776274850923
1142,0.3183879597850566
1146,0.366587913098796
1148,0.23132464221932672
1151,0.3605676721514608
1152,0.2423635660694335
1153,0.4095446580650962
1156,0.3527028747025083
1157,0.37099796392730366
1158,0.4139737559087348
1160,0.509385347366333
1164,0.3783989913147135
1166,0.2577136479318141
1167,0.3579195439815521
1169,0.3476124769076705
1170,0.4721633096536
1176,0.3287780171000419
1177,0.2316767812915966
1178,0.3806722580859091
1180,0.2333607524633407
1186,0.3991059363676757
1189,0.2309505060315132
1190,0.3320881951426441
1198,0.3413993293450127
1199,0.3544160789185828
1201,0.2349118926262451
1208,0.23194311851564836
1209,0.2062359154224395
1214,0.2873564973987382
1219,0.3738280998335944
1224,0.2062359154224395
1226,0.3820537545464255
1228,0.3700996064808994
1229,0.3954567887164928
1231,0.2333592357734839
1233,0.2836003601551056
1239,0.2984544513589244
1240,0.2972789406776428
1245,0.2334242365930391
1250,0.22024546563625327
1253,0.5099297271219092
1254,0.3220198916064368
1257,0.54274662140964
1258,0.2193494047969579
1260,0.3202627897262573
1262,0.4641605771170746
1269,0.4179372415427239
1274,0.4256552754523255
1275,0.3528124365423407
1280,0.2304501689970493
1281,0.43078992119857246
1284,0.22417604687190287
1285,0.4029368465951888
1288,0.4096313565969467
1291,0.2187458058198293
1292,0.3953566881681424
1293,0.3536104227597915
1294,0.2365169487396876
1295,0.3952644460933514
1297,0.3928959132522665
1299,0.6484800126577218
1300,0.7110185133672252
1301,0.613133669331837
1302,0.4616941654823552
1303,0.44547848006067453
1304,0.5150302616517393
1305,0.48216990045271635
1306,0.5309700106464058
1307,0.3991884569443622
1308,0.5844148131720676
1309,0.5124208542714621
1310,0.5804960859759621
1311,1.0125362484950247
1312,0.5683966475521107
1313,0.5361862802356984
1314,0.56488230564216
1315,0.4198350861744227
1316,0.5800735192618754
1317,0.6458174823245874
1318,0.5750222733961714
1319,0.5919289181506608
1320,0.4989366644465421
1321,0.4560205340413361
1322,0.4947028918824517
1323,0.5784023131928034
1324,0.5458439328408158
1325,0.4536249521926623
1326,0.3165216841667458
1327,0.4841543960019515
1328,0.8180682198982374
1329,0.6472621034409696
1330,0.5542241058921481
1331,0.4910217915592205
1332,0.4708456047802136
1333,0.5402467971740716
1334,0.6316727595918168
1335,0.7871234025033865
1336,0.4005528593175364
1337,0.5126753093941562
1338,0.4208564966023641
1339,0.6758976401224805
1340,0.4803892867531221
1341,0.5133963390435499
1342,0.7994764532689416
1343,0.3670396836172538
1344,0.4775233379856889
1345,0.4761571005736879
1346,0.35988716003308874
1347,0.5207636138836134
1348,0.4649958255830998
1349,0.39527968396812524
1350,0.3124748431427345
1351,0.6016635216709836
1352,0.4839036007061582
1353,0.5453533133187345
1354,0.5747269751401901
1355,0.4809087297053781
1356,0.502728528560344
1357,0.42376845730471974
1358,0.35242507575479454
1359,0.656569076691619
1360,0.5287506167518782
1361,0.8007406554396154
1362,0.364616252858815
1363,0.6710087348074238
1364,0.5003088376896703
1365,0.49950059803682517
1366,0.3776749570461639
1367,0.3933700345298415
1368,0.46998004221876855
1369,0.869134274376459
1370,0.37452293075437615
1371,0.5007454841959413
1372,0.5082136988982844
1373,0.9612174696799493
1374,0.6769366952971031
1376,0.5608153614775387
1377,0.7187025603123214
1378,0.6214832446533739
1380,0.44154181243114266
1381,0.8320350494614877
1382,0.970819645112388
1383,0.5514796186794306
1384,0.3327495730441549
1385,0.5312036280206931
1386,0.5049441943341123
1387,0.6171147092197292
1388,0.5570196444659802
1389,0.4411192624820264
1390,6.252649475409256
1391,1.4005443580768908
1392,0.3705528621474823
1393,4.78228366906828
1394,0.3044718446177588
1395,7.506610229326618
1396,4.192800780263151
1397,1.0084995063268432
1398,0.4695808780383162
1399,0.5745043653540562
1400,0.7379361559498302
1401,0.2907369249697887
1402,0.4195737422597421
1403,0.5837662362694392
1404,0.3039848424265975
1405,0.8927091007078237
1406,0.354163960545923
1407,1.636353809302773
1408,2.315216351930448
1409,0.9215812299803271
1410,0.5739810527914075
1411,0.6025951639616877
1412,0.5998325250422217
1413,0.8016782745460083
1414,0.9551946094052416
